"Speed 
(RPM)","Torque
(Nm)","Fuel Rate
(g/sec)","BSFC
g/kW*hr","Efficiency
(%)"
4300,33.61,1.3283,316.0,26.8
4300,42.29,1.5070,284.9,29.7
4300,50.98,1.6815,263.7,32.1
4300,58.53,1.8351,250.7,33.8
4300,66.91,2.0125,240.5,35.2
4300,76.55,2.2278,232.7,36.4
4300,84.12,2.3989,228.0,37.1
4300,93.09,2.6033,223.6,37.9
4300,102.95,2.8363,220.3,38.4
4300,110.70,3.0172,217.9,38.9
4300,117.57,3.1764,216.0,39.2
4300,128.79,3.4356,213.3,39.7
4300,134.25,3.5617,212.1,39.9
4300,141.12,3.7204,210.8,40.2
4300,146.99,3.8565,209.8,40.4
4300,153.55,4.0085,208.7,40.6
4300,159.87,4.1540,207.8,40.8
4300,164.44,4.2591,207.1,40.9
4300,168.56,4.3542,206.5,41.0
4300,172.58,4.4471,206.0,41.1
4300,177.26,4.5561,205.5,41.2
4300,181.55,4.6567,205.1,41.3
4300,185.17,4.7421,204.8,41.3
4300,189.91,4.8544,204.4,41.4
4300,193.48,4.9395,204.1,41.5
4300,198.36,5.0597,203.9,41.5
4300,207.98,5.3017,203.8,41.5
4300,215.22,5.4841,203.7,41.6
4345,18.39,1.0163,437.3,19.4
4345,33.61,1.3475,317.2,26.7
4345,42.29,1.5279,285.8,29.6
4345,50.98,1.7043,264.5,32.0
4345,58.53,1.8598,251.4,33.7
4345,66.91,2.0385,241.0,35.1
4345,76.55,2.2555,233.1,36.3
4345,84.12,2.4286,228.4,37.1
4345,93.09,2.6361,224.0,37.8
4345,102.95,2.8710,220.6,38.4
4345,110.70,3.0535,218.2,38.8
4345,117.57,3.2144,216.3,39.1
4345,128.79,3.4768,213.6,39.6
4345,134.25,3.6046,212.4,39.9
4345,141.12,3.7656,211.1,40.1
4345,146.99,3.9037,210.1,40.3
4345,153.55,4.0576,209.1,40.5
4345,159.87,4.2042,208.1,40.7
4345,164.44,4.3101,207.4,40.8
4345,168.56,4.4058,206.8,40.9
4345,172.58,4.4992,206.3,41.1
4345,177.26,4.6086,205.7,41.2
4345,181.55,4.7095,205.2,41.3
4345,185.17,4.7950,204.9,41.3
4345,189.91,4.9074,204.4,41.4
4345,193.48,4.9924,204.1,41.5
4345,198.36,5.1133,203.9,41.5
4345,207.98,5.3567,203.8,41.6
4443,18.39,1.0527,443.0,19.1
4443,33.61,1.3884,319.6,26.5
4443,42.29,1.5724,287.6,29.4
4443,50.98,1.7532,266.0,31.8
4443,58.53,1.9124,252.8,33.5
4443,66.91,2.0940,242.1,35.0
4443,76.55,2.3146,233.9,36.2
4443,84.12,2.4917,229.2,36.9
4443,93.09,2.7060,224.9,37.6
4443,102.95,2.9447,221.3,38.3
4443,110.70,3.1308,218.8,38.7
4443,117.57,3.2956,216.9,39.0
4443,128.79,3.5649,214.2,39.5
4443,134.25,3.6964,213.0,39.7
4443,141.12,3.8623,211.7,40.0
4443,146.99,4.0045,210.8,40.2
4443,153.55,4.1624,209.7,40.4
4443,159.87,4.3116,208.7,40.6
4443,164.44,4.4190,207.9,40.7
4443,168.56,4.5159,207.3,40.8
4443,172.58,4.6104,206.7,41.0
4443,177.26,4.7208,206.0,41.1
4443,181.55,4.8222,205.5,41.2
4443,185.17,4.9080,205.1,41.3
4443,189.91,5.0205,204.5,41.4
4443,193.48,5.1053,204.1,41.5
4443,198.36,5.2277,203.9,41.5
